team,player_name,shirt_name,kaggle_player_id,kaggle_match_score,market_value_eur
Australia,BOS Jordan Jordan Jacob BOS BOS,BOS,201637.0,100.0,125000.0
Australia,GERIA Jason Jason Kato GERIA GERIA,GERIA,185175.0,100.0,
Australia,LECKIE Mathew Mathew Allan LECKIE LECKIE,LECKIE,126214.0,100.0,700000.0
Australia,METCALFE Connor Connor Isaac METCALFE METCALFE,METCALFE,501710.0,100.0,
Australia,TOURE Mohamed Mohamed A TOURE TOURE,TOURE,421824.0,100.0,
Australia,HRUSTIC Ajdin Ajdin HRUSTIC HRUSTIC,HRUSTIC,265625.0,100.0,600000.0
Australia,MABIL Awer Awer Bul MABIL MABIL,MABIL,255729.0,100.0,1300000.0
Australia,IZZO Paul Paul David IZZO IZZO,IZZO,32113.0,100.0,1300000.0
Australia,ONEILL Aiden Aiden Connor O'NEILL O'NEILL,O'NEILL,149619.0,100.0,
Australia,DEVLIN Cameron Cameron Peter DEVLIN DEVLIN,DEVLIN,148215.0,100.0,450000.0
Australia,TREWIN Kai Kai Clifton TREWIN TREWIN,TREWIN,691326.0,100.0,
Australia,BEHICH Aziz Aziz BEHICH BEHICH,BEHICH,136834.0,100.0,550000.0
Australia,IRANKUNDA Nestory Nestory IRANKUNDA IRANKUNDA,IRANKUNDA,956920.0,100.0,6000000.0
Australia,BEACH Patrick Patrick Thomas BEACH BEACH,BEACH,732120.0,100.0,250000.0
Australia,SOUTTAR Harry Harry James SOUTTAR SOUTTAR,SOUTTAR,235767.0,100.0,3500000.0
Australia,VOLPATO Cristian Cristian VOLPATO VOLPATO,VOLPATO,746891.0,100.0,4500000.0
Australia,BURGESS Cameron Cameron Robert BURGESS BURGESS,BURGESS,244221.0,100.0,2000000.0
Australia,IRVINE Jackson Jackson Alexander IRVINE IRVINE,IRVINE,43260.0,100.0,200000.0
Australia,VELUPILLAY Nishan Nishan Matthew VELUPILLAY VELUPILLAY,VELUPILLAY,888140.0,100.0,
Australia,OKON-ENGSTLER Paul Paul Michael Junior OKON-ENGSTLER OKON-ENGSTLER,OKON-ENGSTLER,1064377.0,100.0,
Australia,HERRINGTON Lucas Lucas HERRINGTON HERRINGTON,HERRINGTON,1043709.0,100.0,150000.0
Australia,YENGI Tete Tete Owen YENGI YENGI,YENGI,708099.0,100.0,
Austria,SCHLAGER Alexander Alexander SCHLAGER SCHLAGER,SCHLAGER,186374.0,100.0,
Austria,AFFENGRUBER David David Leopold AFFENGRUBER AFFENGRUBER,AFFENGRUBER,452483.0,100.0,
Austria,DANSO Kevin Kevin DANSO DANSO,DANSO,108709.0,100.0,150000.0
Austria,SCHLAGER Xaver Xaver SCHLAGER XAVER,XAVER,223979.0,100.0,28000000.0
Austria,POSCH Stefan Stefan POSCH POSCH,POSCH,223974.0,100.0,14000000.0
Austria,SEIWALD Nicolas Nicolas SEIWALD SEIWALD,SEIWALD,404950.0,100.0,16000000.0
Austria,ARNAUTOVIC Marko Marko ARNAUTOVIC ARNAUTOVIC,ARNAUTOVIC,41384.0,100.0,2500000.0
Austria,ALABA David David ALABA ALABA,ALABA,59016.0,100.0,20000000.0
Austria,SABITZER Marcel Marcel SABITZER SABITZER,SABITZER,106987.0,100.0,7000000.0
Austria,GRILLITSCH Florian Florian GRILLITSCH GRILLITSCH,GRILLITSCH,195736.0,100.0,2000000.0
Austria,GREGORITSCH Michael Michael GREGORITSCH GREGORITSCH,GREGORITSCH,120205.0,100.0,1500000.0
Austria,WIEGELE Florian Florian WIEGELE WIEGELE,WIEGELE,393999.0,100.0,
Austria,PENTZ Patrick Patrick PENTZ PENTZ,PENTZ,223972.0,100.0,2200000.0
Austria,KALAJDZIC Sasa Saša KALAJDŽIĆ KALAJDZIC,KALAJDZIC,36007.0,100.0,150000.0
Austria,LIENHART Philipp Philipp LIENHART LIENHART,LIENHART,225657.0,100.0,12000000.0
Austria,MWENE Phillip Phillip MWENE MWENE,MWENE,127573.0,100.0,1500000.0
Austria,CHUKWUEMEKA Carney Carney Chibueze CHUKWUEMEKA CHUKWUEMEKA,CHUKWUEMEKA,659459.0,100.0,25000000.0
Austria,SCHMID Romano Romano SCHMID SCHMID,SCHMID,70285.0,100.0,600000.0
Austria,LJUBICIC Dejan Dejan LJUBIČIĆ LJUBICIC,LJUBICIC,838236.0,100.0,2500000.0
Austria,LAIMER Konrad Konrad LAIMER LAIMER,LAIMER,223967.0,100.0,32000000.0
Austria,WIMMER Patrick Patrick WIMMER WIMMER,WIMMER,122675.0,100.0,500000.0
Austria,PRASS Alexander Alexander PRASS PRASS,PRASS,434116.0,100.0,5000000.0
