match_id,date,phase,team_a,team_b,venue,xG_a,xG_b,prob_a_win,prob_draw,prob_b_win,squad_match_status,scoreline_1,scoreline_1_prob,scoreline_2,scoreline_2_prob,scoreline_3,scoreline_3_prob,scoreline_4,scoreline_4_prob,scoreline_5,scoreline_5_prob
GS_030,2026-06-19,Group C,Scotland,Morocco,USA_BOS,0.952,1.228,0.2686,0.3236,0.4078,ok,1-1,0.1493,0-0,0.1302,0-1,0.1217,1-0,0.0904,0-2,0.0853
GS_029,2026-06-19,Group C,Brazil,Haiti,USA_PHI,1.997,1.01,0.5891,0.2385,0.1724,ok,1-1,0.1128,2-1,0.0997,2-0,0.0987,1-0,0.0858,3-1,0.0663
GS_031,2026-06-19,Group D,Türkiye,Paraguay,USA_SF,1.342,1.228,0.3778,0.2981,0.3242,ok,1-1,0.1426,0-0,0.093,1-0,0.0864,2-1,0.0846,0-1,0.0776
GS_035,2026-06-20,Group F,Netherlands,Sweden,USA_HOU,1.828,1.653,0.4123,0.247,0.3407,ok,1-1,0.1052,2-1,0.0851,1-2,0.0769,2-2,0.0703,3-1,0.0518
GS_033,2026-06-20,Group E,Germany,Côte D'Ivoire,CAN_TOR,1.537,1.29,0.4156,0.2799,0.3045,ok,1-1,0.1327,2-1,0.0902,1-0,0.0758,1-2,0.0757,0-0,0.0745
GS_034,2026-06-20,Group E,Ecuador,Curaçao,USA_KC,1.308,1.73,0.2764,0.2639,0.4597,ok,1-1,0.1226,1-2,0.0939,0-2,0.0718,2-1,0.0709,0-1,0.0689
GS_036,2026-06-20,Group F,Tunisia,Japan,MEX_MTY,1.125,1.266,0.3106,0.3103,0.3791,ok,1-1,0.1473,0-0,0.1085,0-1,0.099,1-0,0.086,1-2,0.0825
GS_038,2026-06-21,Group H,Spain,Saudi Arabia,USA_ATL,1.446,0.951,0.4694,0.2989,0.2318,ok,1-1,0.1414,1-0,0.1153,0-0,0.1073,2-0,0.0951,2-1,0.0905
GS_039,2026-06-21,Group G,Belgium,IR Iran,USA_LA,0.966,1.957,0.1674,0.2415,0.5911,ok,1-1,0.115,0-2,0.1031,1-2,0.0996,0-1,0.0921,0-3,0.0672
GS_037,2026-06-21,Group H,Uruguay,Cabo Verde,USA_MIA,1.213,0.89,0.4182,0.3283,0.2535,ok,1-1,0.149,0-0,0.1392,1-0,0.1309,0-1,0.0915,2-0,0.0898
GS_040,2026-06-21,Group G,New Zealand,Egypt,CAN_VAN,1.234,1.656,0.2705,0.2718,0.4578,ok,1-1,0.1284,1-2,0.0941,0-1,0.0773,0-2,0.0762,0-0,0.0703
GS_043,2026-06-22,Group J,Argentina,Austria,USA_DAL,1.981,1.228,0.5354,0.2431,0.2215,ok,1-1,0.1112,2-1,0.0974,2-0,0.0793,1-0,0.0673,3-1,0.0643
GS_042,2026-06-22,Group I,France,Iraq,USA_PHI,1.159,1.363,0.3018,0.3,0.3982,ok,1-1,0.1434,0-0,0.0968,0-1,0.093,1-2,0.0864,1-0,0.0766
GS_041,2026-06-22,Group I,Norway,Senegal,CAN_TOR,0.983,1.504,0.2311,0.2917,0.4772,ok,1-1,0.1389,0-1,0.1091,0-0,0.0991,0-2,0.0941,1-2,0.0925
GS_044,2026-06-22,Group J,Jordan,Algeria,USA_SF,0.87,1.139,0.2608,0.3384,0.4009,ok,0-0,0.1514,1-1,0.1502,0-1,0.1355,1-0,0.0994,0-2,0.087
GS_047,2026-06-23,Group K,Portugal,Uzbekistan,USA_HOU,1.331,1.332,0.3534,0.2925,0.3541,ok,1-1,0.1397,0-0,0.0858,1-2,0.0824,2-1,0.0823,0-1,0.0769
GS_045,2026-06-23,Group L,England,Ghana,USA_BOS,1.54,1.03,0.4752,0.287,0.2378,ok,1-1,0.1372,1-0,0.102,2-1,0.0935,0-0,0.0923,2-0,0.0907
GS_046,2026-06-23,Group L,Panama,Croatia,USA_BOS,0.858,1.81,0.1603,0.2551,0.5846,ok,1-1,0.1219,0-2,0.1137,0-1,0.1117,1-2,0.0976,0-0,0.0835
GS_048,2026-06-23,Group K,Colombia,Congo DR,MEX_GDL,1.047,1.172,0.3069,0.3238,0.3693,ok,1-1,0.1508,0-0,0.1261,0-1,0.1101,1-0,0.0965,1-2,0.0782
GS_051,2026-06-24,Group B,Switzerland,Canada,CAN_VAN,1.342,1.454,0.3329,0.2836,0.3836,ok,1-1,0.1346,1-2,0.0866,2-1,0.08,0-0,0.0765,0-1,0.0733
GS_052,2026-06-24,Group B,Bosnia and Herzegovina,Qatar,USA_SEA,1.102,1.337,0.291,0.3051,0.4039,ok,1-1,0.1453,0-0,0.104,0-1,0.1,1-2,0.0859,1-0,0.0794
GS_049,2026-06-24,Group C,Scotland,Brazil,USA_MIA,1.045,1.828,0.2006,0.2567,0.5428,ok,1-1,0.1221,1-2,0.0988,0-2,0.0945,0-1,0.0893,0-0,0.0706
GS_050,2026-06-24,Group C,Morocco,Haiti,USA_ATL,1.342,0.92,0.4481,0.3118,0.2401,ok,1-1,0.1453,1-0,0.1231,0-0,0.1209,2-0,0.0938,2-1,0.0863
GS_053,2026-06-24,Group A,Czech Republic,Mexico,MEX_CDMX,1.277,1.234,0.3587,0.3026,0.3387,ok,1-1,0.1446,0-0,0.0978,1-0,0.087,0-1,0.0836,2-1,0.0817
GS_054,2026-06-24,Group A,South Africa,Korea Republic,MEX_MTY,0.831,1.15,0.2472,0.3391,0.4138,partial,0-0,0.155,1-1,0.149,0-1,0.1414,1-0,0.0975,0-2,0.0912
GS_055,2026-06-25,Group E,Curaçao,Côte D'Ivoire,USA_PHI,1.127,1.753,0.2298,0.2644,0.5058,ok,1-1,0.1254,1-2,0.0973,0-2,0.0863,0-1,0.084,0-0,0.0706
GS_056,2026-06-25,Group E,Ecuador,Germany,USA_NY,0.962,2.36,0.127,0.2,0.673,ok,0-2,0.1008,1-2,0.097,1-1,0.0929,0-3,0.0793,1-3,0.0763
GS_057,2026-06-25,Group F,Japan,Sweden,USA_DAL,1.599,1.557,0.3771,0.2637,0.3591,ok,1-1,0.1199,2-1,0.0848,1-2,0.0826,2-2,0.066,0-0,0.0564
GS_058,2026-06-25,Group F,Tunisia,Netherlands,USA_KC,1.194,1.447,0.2958,0.2911,0.4131,ok,1-1,0.1392,1-2,0.0891,0-0,0.0873,0-1,0.0871,0-2,0.0746
GS_059,2026-06-25,Group D,Türkiye,United States,USA_LA,1.242,1.452,0.3075,0.2886,0.4039,ok,1-1,0.1378,1-2,0.0885,0-0,0.0835,0-1,0.0823,2-1,0.0757
GS_060,2026-06-25,Group D,Paraguay,Australia,USA_SF,0.929,1.961,0.159,0.24,0.6009,ok,1-1,0.1145,0-2,0.107,1-2,0.0994,0-1,0.096,0-3,0.0699
GS_061,2026-06-26,Group I,Norway,France,USA_BOS,1.351,2.03,0.2418,0.2391,0.5192,ok,1-1,0.1056,1-2,0.0948,0-2,0.0702,1-3,0.0641,2-2,0.064
GS_062,2026-06-26,Group I,Senegal,Iraq,CAN_TOR,0.859,0.991,0.2858,0.3572,0.357,ok,0-0,0.1746,1-1,0.1513,0-1,0.1384,1-0,0.1176,0-2,0.0772
GS_065,2026-06-26,Group H,Cabo Verde,Saudi Arabia,USA_HOU,0.764,1.183,0.2213,0.3375,0.4411,ok,0-0,0.1596,0-1,0.1521,1-1,0.1458,0-2,0.0998,1-0,0.0923
GS_066,2026-06-26,Group H,Uruguay,Spain,MEX_GDL,0.976,1.686,0.2031,0.2715,0.5254,ok,1-1,0.1299,0-1,0.1029,0-2,0.0993,1-2,0.0969,0-0,0.0848
GS_063,2026-06-26,Group G,Egypt,IR Iran,USA_SEA,0.878,1.311,0.2335,0.3167,0.4498,ok,1-1,0.1457,0-1,0.1301,0-0,0.1288,0-2,0.0963,1-2,0.0845
GS_064,2026-06-26,Group G,New Zealand,Belgium,CAN_VAN,1.842,1.822,0.3841,0.2399,0.376,ok,1-1,0.0973,2-1,0.0793,1-2,0.0785,2-2,0.0723,3-1,0.0487
GS_067,2026-06-27,Group L,Panama,England,USA_NY,0.817,2.279,0.1079,0.2002,0.6919,ok,0-2,0.1178,1-2,0.0962,1-1,0.0954,0-1,0.0924,0-3,0.0895
GS_068,2026-06-27,Group L,Croatia,Ghana,USA_PHI,1.223,1.082,0.3764,0.3167,0.3069,ok,1-1,0.1492,0-0,0.1169,1-0,0.1048,0-1,0.0907,2-1,0.0807
GS_071,2026-06-27,Group K,Colombia,Portugal,USA_MIA,0.97,1.378,0.2478,0.3061,0.4461,ok,1-1,0.1443,0-1,0.115,0-0,0.1121,0-2,0.0907,1-2,0.088
GS_072,2026-06-27,Group K,Congo DR,Uzbekistan,USA_ATL,1.131,1.438,0.2808,0.2945,0.4248,ok,1-1,0.1408,0-1,0.094,0-0,0.0928,1-2,0.0896,0-2,0.0792
GS_069,2026-06-27,Group J,Algeria,Austria,USA_KC,1.598,1.227,0.4446,0.277,0.2784,ok,1-1,0.1314,2-1,0.0929,1-0,0.0797,2-0,0.0757,0-0,0.0744
GS_070,2026-06-27,Group J,Jordan,Argentina,USA_DAL,0.87,1.412,0.2155,0.3043,0.4802,ok,1-1,0.1417,0-1,0.1278,0-0,0.1184,0-2,0.1017,1-2,0.0885
